folio_recepcion,fecha_recepcion,estado_final_lm,count
2024151031,2024-05-07 21:53:00.000000,4,1
2024151032,2024-05-06 11:19:00.000000,6,1
2024151034,2024-05-24 05:49:00.000000,3,1
2024152045,2024-05-06 07:32:00.000000,6,1
2024152051,2024-05-24 10:05:00.000000,3,1
2024152054,2024-05-27 08:09:00.000000,4,1
2024152056,2024-05-30 08:27:00.000000,6,1
2024154035,2024-05-16 14:18:00.000000,6,1
2024154036,2024-05-15 17:33:00.000000,4,1
2024154079,2024-05-07 08:16:00.000000,6,1
2024154082,2024-05-23 13:19:00.000000,3,1
2024154095,2024-05-15 17:55:00.000000,6,1
2024154145,2024-05-15 17:32:00.000000,6,1
2024154146,2024-05-10 05:59:00.000000,6,1
2024154258,2024-05-03 08:14:00.000000,6,1
2024154266,2024-05-27 08:22:00.000000,6,1
2024154334,2024-05-14 06:29:00.000000,6,1
2024154465,2024-05-08 21:21:00.000000,6,1
2024154467,2024-05-09 17:39:00.000000,6,1
2024154468,2024-05-08 10:09:00.000000,6,1
2024154469,2024-05-13 17:52:00.000000,6,1
2024154498,2024-05-24 10:01:00.000000,6,1
2024154576,2024-05-14 08:12:00.000000,6,1
2024154577,2024-05-23 07:34:00.000000,6,1
2024154578,2024-05-22 11:11:00.000000,6,1
2024154602,2024-05-20 14:42:00.000000,4,1
2024159065,2024-05-02 10:53:00.000000,6,1
2024159067,2024-05-07 09:08:00.000000,4,1
2024159068,2024-05-07 18:00:00.000000,4,1
2024159075,2024-05-16 08:47:00.000000,6,1
2024159076,2024-05-16 08:45:00.000000,6,1
2024159080,2024-05-24 08:20:00.000000,6,1
2024159082,2024-05-28 14:01:00.000000,6,1
2024166041,2024-05-02 08:19:00.000000,6,1
2024166082,2024-05-06 09:12:00.000000,6,1
2024166086,2024-05-13 18:08:00.000000,6,1
2024166088,2024-05-20 10:04:00.000000,6,1
2024166089,2024-05-27 11:49:00.000000,3,1
2024177049,2024-05-16 09:13:00.000000,6,1
2024177060,2024-05-08 09:22:00.000000,6,1
2024177074,2024-05-03 11:20:00.000000,6,1
2024177081,2024-05-07 15:11:00.000000,6,1
2024177084,2024-05-06 09:07:00.000000,6,1
2024177085,2024-05-08 22:37:00.000000,3,1
2024177089,2024-05-10 09:24:00.000000,6,1
2024177091,2024-05-23 11:20:00.000000,6,1
2024200001,2024-05-15 21:22:00.000000,3,1
2024200003,2024-05-15 19:22:00.000000,3,1
2024200008,2024-05-15 14:25:00.000000,3,1
2024200009,2024-05-15 08:16:00.000000,6,1
2024200010,2024-05-15 08:01:00.000000,4,1
2024200012,2024-05-15 14:37:00.000000,3,1
2024200016,2024-05-15 08:01:00.000000,6,1
2024200017,2024-05-15 14:13:00.000000,3,1
2024200019,2024-05-15 08:03:00.000000,3,1
2024200024,2024-05-15 22:49:00.000000,6,1
2024200025,2024-05-15 08:01:00.000000,3,1
2024200026,2024-05-15 08:03:00.000000,3,1
2024200028,2024-05-15 14:44:00.000000,3,1
2024200029,2024-05-15 08:08:00.000000,4,1
2024200030,2024-05-15 13:13:00.000000,3,1
2024200033,2024-05-15 13:57:00.000000,3,1
2024200034,2024-05-15 07:09:00.000000,3,1
2024200036,2024-05-15 18:38:00.000000,6,1
2024200037,2024-05-15 08:28:00.000000,3,1
2024200039,2024-05-15 00:05:00.000000,3,1
2024200041,2024-05-15 08:03:00.000000,6,1
2024200042,2024-05-15 08:03:00.000000,3,1
2024200043,2024-05-15 08:02:00.000000,3,1
2024200049,2024-05-15 08:16:00.000000,3,1
2024200052,2024-05-15 10:00:00.000000,3,1
2024200053,2024-05-15 16:51:00.000000,3,1
2024200054,2024-05-15 08:12:00.000000,6,1
2024200055,2024-05-15 22:12:00.000000,3,1
2024200060,2024-05-15 08:04:00.000000,6,1
2024200061,2024-05-15 08:04:00.000000,3,1
2024200062,2024-05-15 08:03:00.000000,3,1
2024200063,2024-05-15 08:16:00.000000,3,1
2024200064,2024-05-15 08:02:00.000000,3,1
2024200068,2024-05-15 08:01:00.000000,3,1
2024200069,2024-05-15 08:03:00.000000,3,1
2024200072,2024-05-15 00:01:00.000000,6,1
2024200075,2024-05-15 00:01:00.000000,6,1
2024200076,2024-05-15 00:01:00.000000,6,1
2024200077,2024-05-15 00:01:00.000000,6,1
2024200078,2024-05-15 00:01:00.000000,6,1
2024200081,2024-05-15 00:01:00.000000,6,1
2024200082,2024-05-15 00:01:00.000000,6,1
2024200084,2024-05-15 00:01:00.000000,6,1
2024200086,2024-05-15 00:01:00.000000,6,1
2024200087,2024-05-15 00:01:00.000000,6,1
2024200088,2024-05-15 00:01:00.000000,6,1
2024200089,2024-05-15 00:01:00.000000,6,1
2024200090,2024-05-15 00:01:00.000000,6,1
2024200093,2024-05-15 00:01:00.000000,6,1
2024200099,2024-05-15 00:01:00.000000,6,1
2024200101,2024-05-15 00:01:00.000000,6,1
2024200103,2024-05-15 00:01:00.000000,6,1
2024200114,2024-05-15 08:03:00.000000,3,1
2024200115,2024-05-15 08:01:00.000000,3,1
2024200116,2024-05-15 08:15:00.000000,3,1
2024200119,2024-05-15 08:01:00.000000,3,1
2024200120,2024-05-15 08:13:00.000000,6,1
2024200122,2024-05-15 00:05:00.000000,6,1
2024200123,2024-05-15 10:00:00.000000,4,1
2024200124,2024-05-15 08:02:00.000000,3,1
2024200125,2024-05-15 10:32:00.000000,6,1
2024200126,2024-05-15 08:02:00.000000,3,1
2024200128,2024-05-15 08:03:00.000000,6,1
2024200129,2024-05-15 21:46:00.000000,3,1
2024200132,2024-05-15 23:27:00.000000,3,1
2024200135,2024-05-15 08:03:00.000000,6,1
2024200136,2024-05-15 08:01:00.000000,3,1
2024200139,2024-05-15 00:01:00.000000,6,1
2024200140,2024-05-15 08:04:00.000000,3,1
2024200141,2024-05-15 08:04:00.000000,3,1
2024200144,2024-05-15 08:16:00.000000,3,1
2024200145,2024-05-15 00:05:00.000000,3,1
2024200146,2024-05-15 14:44:00.000000,6,1
2024200150,2024-05-15 08:15:00.000000,3,1
2024200151,2024-05-15 09:59:00.000000,3,1
2024200153,2024-05-15 08:02:00.000000,3,1
2024200154,2024-05-15 08:02:00.000000,3,1
2024200155,2024-05-15 08:01:00.000000,3,1
2024200156,2024-05-15 15:37:00.000000,3,1
2024200160,2024-05-15 08:02:00.000000,6,1
2024200162,2024-05-15 08:42:00.000000,6,1
2024200165,2024-05-15 08:02:00.000000,6,1
2024200166,2024-05-15 08:02:00.000000,6,1
2024200167,2024-05-15 11:39:00.000000,3,1
2024200170,2024-05-15 23:52:00.000000,6,1
2024200173,2024-05-15 00:01:00.000000,6,1
2024200175,2024-05-15 00:01:00.000000,6,1
2024200176,2024-05-15 00:01:00.000000,6,1
2024200177,2024-05-15 00:01:00.000000,6,1
2024200180,2024-05-15 00:01:00.000000,6,1
2024200181,2024-05-15 00:01:00.000000,6,1
2024200183,2024-05-15 00:01:00.000000,6,1
2024200184,2024-05-15 00:01:00.000000,6,1
2024200186,2024-05-15 00:01:00.000000,6,1
2024200187,2024-05-15 00:01:00.000000,6,1
2024200188,2024-05-15 00:01:00.000000,6,1
2024200190,2024-05-15 00:01:00.000000,6,1
2024200192,2024-05-15 00:01:00.000000,6,1
2024200193,2024-05-15 00:01:00.000000,6,1
2024200194,2024-05-15 00:01:00.000000,6,1
2024200195,2024-05-15 00:01:00.000000,6,1
2024200196,2024-05-15 00:01:00.000000,6,1
2024200198,2024-05-15 00:01:00.000000,6,1
2024200214,2024-05-16 11:06:00.000000,3,1
2024200216,2024-05-16 12:24:00.000000,3,1
2024200217,2024-05-16 17:34:00.000000,3,1
2024200220,2024-05-16 17:52:00.000000,3,1
2024200221,2024-05-16 17:01:00.000000,6,1
2024200222,2024-05-16 16:47:00.000000,3,1
2024200224,2024-05-16 11:50:00.000000,6,1
2024200225,2024-05-16 17:50:00.000000,3,1
2024200226,2024-05-16 17:49:00.000000,6,1
2024200229,2024-05-16 10:17:00.000000,3,1
2024200232,2024-05-16 10:40:00.000000,4,1
2024200233,2024-05-16 16:52:00.000000,3,1
2024200234,2024-05-16 18:03:00.000000,3,1
2024200235,2024-05-16 07:26:00.000000,6,1
2024200237,2024-05-16 17:50:00.000000,3,1
2024200238,2024-05-16 16:58:00.000000,3,1
2024200241,2024-05-16 08:21:00.000000,3,1
2024200243,2024-05-16 17:31:00.000000,3,1
2024200244,2024-05-16 17:00:00.000000,3,1
2024200245,2024-05-16 21:26:00.000000,3,1
2024200248,2024-05-16 12:31:00.000000,3,1
2024200249,2024-05-16 16:57:00.000000,3,1
2024200250,2024-05-16 14:13:00.000000,3,1
2024200251,2024-05-16 14:13:00.000000,6,1
2024200252,2024-05-16 17:09:00.000000,3,1
2024200254,2024-05-16 16:57:00.000000,3,1
2024200255,2024-05-16 12:04:00.000000,6,1
2024200256,2024-05-16 18:04:00.000000,3,1
2024200257,2024-05-16 17:43:00.000000,3,1
2024200261,2024-05-16 10:21:00.000000,3,1
2024200263,2024-05-16 17:01:00.000000,3,1
2024200264,2024-05-16 19:34:00.000000,3,1
2024200266,2024-05-16 12:18:00.000000,3,1
2024200268,2024-05-16 00:00:00.000000,3,1
2024200269,2024-05-16 17:32:00.000000,3,1
2024200270,2024-05-16 14:12:00.000000,6,1
2024200271,2024-05-16 00:04:00.000000,3,1
2024200273,2024-05-16 00:03:00.000000,6,1
2024200274,2024-05-16 17:15:00.000000,3,1
2024200279,2024-05-16 16:49:00.000000,3,1
2024200280,2024-05-16 16:50:00.000000,3,1
2024200286,2024-05-16 17:42:00.000000,3,1
2024200289,2024-05-16 17:02:00.000000,4,1
2024200292,2024-05-16 17:18:00.000000,6,1
2024200293,2024-05-16 00:04:00.000000,3,1
2024200294,2024-05-16 17:23:00.000000,3,1
2024200297,2024-05-16 17:07:00.000000,3,1
2024200299,2024-05-16 17:43:00.000000,3,1
2024200301,2024-05-16 10:25:00.000000,6,1
2024200302,2024-05-16 18:03:00.000000,6,1
2024200304,2024-05-16 16:49:00.000000,3,1
2024200306,2024-05-16 18:06:00.000000,3,1
2024200308,2024-05-16 17:47:00.000000,3,1
2024200310,2024-05-16 11:49:00.000000,3,1
2024200314,2024-05-16 17:38:00.000000,3,1
2024200315,2024-05-16 10:57:00.000000,3,1
2024200316,2024-05-16 17:31:00.000000,6,1
2024200318,2024-05-16 17:50:00.000000,3,1
2024200321,2024-05-16 17:07:00.000000,3,1
2024200322,2024-05-16 17:01:00.000000,3,1
2024200323,2024-05-16 14:17:00.000000,3,1
2024200326,2024-05-16 11:03:00.000000,6,1
2024200330,2024-05-16 12:04:00.000000,3,1
2024200331,2024-05-16 17:34:00.000000,3,1
2024200333,2024-05-16 17:43:00.000000,6,1
2024200335,2024-05-16 18:33:00.000000,6,1
2024200338,2024-05-16 16:49:00.000000,6,1
2024200339,2024-05-16 18:00:00.000000,4,1
2024200344,2024-05-16 10:32:00.000000,3,1
2024200346,2024-05-16 14:55:00.000000,4,1
2024200348,2024-05-16 11:02:00.000000,3,1
2024200349,2024-05-16 17:19:00.000000,6,1
2024200350,2024-05-16 12:25:00.000000,3,1
2024200351,2024-05-16 10:05:00.000000,3,1
