"folio_recepcion","estado_final_lm","fecha_recepcion","fecha_publicacion"
"2024476457",6,2024-04-05 08:08:00.000,2024-04-08 19:23:03.623
"2024476954",3,2024-04-05 08:08:00.000,2024-04-08 19:25:19.306
"2024471009",6,2024-04-19 00:01:00.000,2024-04-22 14:16:32.761
"2024482388",3,2024-04-05 08:08:00.000,2024-04-08 19:30:37.550
"2024475959",3,2024-04-08 09:12:00.000,2024-04-10 19:22:41.723
"2024475601",3,2024-04-08 12:11:00.000,2024-04-12 21:23:09.351
"2024475719",3,2024-04-08 11:49:00.000,2024-04-12 21:23:25.821
"2024476401",3,2024-04-05 08:08:00.000,2024-04-08 19:21:57.484
"2024476462",3,2024-04-05 08:08:00.000,2024-04-08 19:23:14.426
"2024476409",6,2024-04-05 08:08:00.000,2024-04-08 19:22:23.464
"2024476410",3,2024-04-05 08:08:00.000,2024-04-08 19:22:30.613
"2024476780",3,2024-04-05 08:09:00.000,2024-04-08 19:24:04.511
"2024476439",3,2024-04-05 08:08:00.000,2024-04-08 19:22:56.644
"2024475908",3,2024-04-08 09:09:00.000,2024-04-10 18:21:14.254
"2024478075",3,2024-04-09 15:27:00.000,2024-04-10 23:18:12.599
"2024478461",3,2024-04-09 09:09:00.000,2024-04-10 18:24:57.573
"2024462231",6,2024-04-16 08:07:00.000,2024-04-17 19:17:42.839
"2024475037",3,2024-04-08 09:09:00.000,2024-04-10 18:16:26.078
"2024461748",6,2024-04-15 08:07:00.000,2024-04-16 19:22:28.477
"2024461865",3,2024-04-15 08:07:00.000,2024-04-16 19:23:24.366
"2024478481",3,2024-04-09 09:09:00.000,2024-04-10 18:25:20.709
"2024475357",3,2024-04-08 09:10:00.000,2024-04-10 18:19:11.651
"2024475424",3,2024-04-08 09:10:00.000,2024-04-10 18:19:31.729
"2024475189",3,2024-04-08 09:10:00.000,2024-04-10 18:17:17.716
"2024475220",3,2024-04-08 09:10:00.000,2024-04-10 18:17:37.524
"2024478182",3,2024-04-09 09:10:00.000,2024-04-10 18:23:41.280
"2024478265",3,2024-04-09 09:10:00.000,2024-04-10 18:24:01.808
"2024475038",3,2024-04-08 09:10:00.000,2024-04-10 18:16:40.096
"2024478170",3,2024-04-09 00:07:00.000,2024-04-15 20:29:13.895
"2024466001",6,2024-04-12 08:05:00.000,2024-04-15 20:17:02.604
"2024466587",3,2024-04-12 08:05:00.000,2024-04-15 20:23:04.457
"2024466044",3,2024-04-12 08:05:00.000,2024-04-15 20:18:21.946
"2024472062",3,2024-04-09 12:40:00.000,2024-04-15 21:19:54.467
"2024472602",3,2024-04-09 12:43:00.000,2024-04-15 21:21:49.288
"2024469965",6,2024-04-12 08:05:00.000,2024-04-15 20:23:23.127
"2024475107",3,2024-04-08 09:10:00.000,2024-04-10 18:16:46.475
"2024473314",3,2024-04-10 13:01:00.000,2024-04-15 21:22:52.057
"2024466818",3,2024-04-15 18:53:00.000,2024-04-19 17:20:15.481
"2024461043",3,2024-04-15 18:50:00.000,2024-04-19 17:16:39.300
"2024466412",3,2024-04-12 08:06:00.000,2024-04-15 20:21:49.363
"2024466109",4,2024-04-12 08:05:00.000,2024-04-15 20:19:15.082
"2024466291",6,2024-04-12 08:06:00.000,2024-04-15 20:19:54.249
"2024466423",3,2024-04-12 08:06:00.000,2024-04-15 20:21:58.142
"2024466329",3,2024-04-12 08:06:00.000,2024-04-15 20:21:03.889
"2024466393",3,2024-04-12 08:06:00.000,2024-04-15 20:21:41.379
"2024466485",3,2024-04-12 08:06:00.000,2024-04-15 20:22:05.906
"2024478596",6,2024-04-09 00:08:00.000,2024-04-15 20:30:33.559
"2024466523",3,2024-04-12 08:05:00.000,2024-04-15 20:22:39.813
"2024469969",3,2024-04-12 08:05:00.000,2024-04-15 20:23:30.541
"2024469377",3,2024-04-11 15:59:00.000,2024-04-17 02:20:14.096
"2024472540",3,2024-04-09 00:09:00.000,2024-04-15 20:26:01.422
"2024478586",3,2024-04-09 00:09:00.000,2024-04-15 20:30:25.791
"2024478688",3,2024-04-09 00:09:00.000,2024-04-15 20:30:40.651
"2024492858",6,2024-04-24 00:01:00.000,2024-04-25 13:16:22.884
"2024491294",6,2024-04-30 00:01:00.000,2024-05-02 06:18:04.746
"2024475271",3,2024-04-08 09:10:00.000,2024-04-10 18:18:12.826
"2024469624",3,2024-04-11 16:28:00.000,2024-04-17 02:21:43.382
"2024461967",6,2024-04-16 08:07:00.000,2024-04-17 19:16:43.373
"2024462440",3,2024-04-16 08:08:00.000,2024-04-17 19:19:37.916
"2024462107",3,2024-04-16 08:08:00.000,2024-04-17 19:17:34.853
"2024462897",3,2024-04-16 22:54:00.000,2024-04-19 17:19:44.845
"2024462259",6,2024-04-16 08:07:00.000,2024-04-17 19:18:02.473
"2024469979",6,2024-04-12 22:50:00.000,2024-04-19 17:21:45.173
"2024462528",6,2024-04-16 08:08:00.000,2024-04-17 19:21:10.585
"2024462738",3,2024-04-16 08:08:00.000,2024-04-17 19:22:13.168
"2024475248",3,2024-04-08 09:10:00.000,2024-04-10 18:17:50.512
"2024466443",6,2024-04-12 00:01:00.000,2024-04-18 15:20:38.145
"2024479151",6,2024-04-03 00:01:00.000,2024-04-09 14:16:07.212
