"folio_recepcion","cantidad_items","cantidad_lm","cantidad_ls"
"2024356267",30,28,16
"2024354458",24,28,16
"2023455071",18,28,16
"2024360670",33,28,16
"2023476284",21,28,16
"2023460360",7,28,16
"2024359361",10,28,16
"2023460871",3,28,16
"2024366129",7,28,16
"2024366220",3,28,16
"2024375126",24,28,16
"2024360235",16,28,16
"2024360221",15,28,16
"2024363609",16,28,16
"2024352230",24,28,16
"2023478143",3,28,16
"2023470338",18,28,16
"2024351018",25,28,16
"2023478117",9,28,16
"2024363712",19,28,16
"2023455674",36,28,16
"2024363085",3,28,16
"2024363252",24,28,16
"2024353225",3,28,16
"2023470637",16,28,16
"2023477959",3,28,16
"2024364365",24,28,16
"2024358360",7,28,16
"2023475887",3,28,16
"2024351389",12,28,16
"2024354233",28,28,16
"2024356024",9,28,16
"2023470511",18,28,16
"2024357772",3,28,16
"2024362330",7,28,16
"2024351525",21,28,16
"2023470803",13,28,16
"2023475890",29,28,16
"2024365934",14,28,16
"2024364334",19,28,16
"2024372704",10,28,16
"2023477095",15,28,16
"2024350676",3,28,16
"2024351996",8,28,16
"2023455874",11,28,16
"2024354387",8,28,16
"2024363470",3,28,16
"2024360928",8,28,16
"2024366414",16,28,16
"2023455062",36,28,16
"2024350568",24,28,16
"2023470479",18,28,16
"2024351404",29,28,16
"2024364187",13,28,16
"2024372676",4,28,16
"2024363130",27,28,16
"2024360671",20,28,16
"2024359069",15,28,16
"2023459693",7,28,16
"2024365100",3,28,16
"2024353819",19,28,16
"2024358775",6,28,16
"2024353521",3,28,16
"2023463023",7,28,16
"2024372700",9,28,16
"2024350988",24,28,16
"2023460408",13,28,16
"2023477847",19,28,16
"2023459459",7,28,16
"2024353560",14,28,16
"2023459785",3,28,16
"2023477580",3,28,16
"2024353148",9,28,16
"2024350051",19,28,16
"2024352722",12,28,16
"2024357149",5,28,16
"2024366491",19,28,16
"2024360570",10,28,16
"2024365131",24,28,16
"2023460734",27,28,16
"2023459101",3,28,16
"2024352613",20,28,16
"2024365855",8,28,16
"2024360076",3,28,16
"2024351772",7,28,16
"2024361193",34,28,16
"2024358300",3,28,16
"2023475588",19,28,16
"2023475571",28,28,16
"2024351235",12,28,16
"2024358799",6,28,16
"2023477699",17,28,16
"2024350919",20,28,16
"2024354386",9,28,16
"2024356003",13,28,16
"2024351794",17,28,16
"2024353577",7,28,16
"2023460660",30,28,16
"2023475825",9,28,16
"2024352992",21,28,16
"2024351540",3,28,16
"2024353008",22,28,16
"2024353524",2,28,16
"2024044002",3,28,16
"2024356842",3,28,16
"2023455379",10,28,16
"2023455678",10,28,16
"2024353602",27,28,16
"2024365768",7,28,16
"2024366049",29,28,16
"2023470692",3,28,16
"2024351770",9,28,16
"2024352218",24,28,16
"2024366390",3,28,16
"2024366739",3,28,16
"2024372545",7,28,16
"2024354237",3,28,16
"2024356648",6,28,16
"2023476250",32,28,16
"2023455198",14,28,16
"2023478573",20,28,16
"2024352288",18,28,16
"2024361361",3,28,16
"2024364947",34,28,16
"2023477734",14,28,16
"2023470655",17,28,16
"2024354485",7,28,16
"2023477542",9,28,16
"2024350592",3,28,16
"2023477155",3,28,16
"2023464098",7,28,16
"2024354881",21,28,16
"2024350520",10,28,16
"2024352819",10,28,16
"2024358387",26,28,16
"2024366795",10,28,16
"2024356974",51,28,16
"2024360153",12,28,16
"2023477730",3,28,16
"2023470669",16,28,16
"2024362785",7,28,16
"2024363816",6,28,16
"2024359471",39,28,16
"2023459574",6,28,16
"2023459438",13,28,16
"2024359934",22,28,16
"2024360957",3,28,16
"2024351961",7,28,16
"2024361005",16,28,16
"2024358138",33,28,16
"2024354709",3,28,16
"2023476877",6,28,16
"2024354557",3,28,16
"2024360966",3,28,16
"2024363366",27,28,16
"2023460213",27,28,16
"2024362333",6,28,16
"2023478861",7,28,16
"2023464447",51,28,16
"2023455738",3,28,16
"2024350436",3,28,16
"2024361473",20,28,16
"2023460508",15,28,16
"2023455830",19,28,16
"2024359905",39,28,16
"2024361156",32,28,16
"2024350523",3,28,16
"2024354879",24,28,16
"2023460949",3,28,16
"2023478990",3,28,16
"2023477563",21,28,16
"2023455233",10,28,16
"2024359416",2,28,16
"2024353145",25,28,16
"2024362712",30,28,16
"2024356871",14,28,16
"2023470653",3,28,16
"2024356237",14,28,16
"2024350010",63,28,16
"2023476916",21,28,16
"2024352059",6,28,16
"2024357254",3,28,16
"2024069401",9,28,16
"2024035007",10,28,16
"2024364538",24,28,16
"2024365995",9,28,16
"2024357538",3,28,16
"2024356001",24,28,16
"2024351377",31,28,16
"2023476719",3,28,16
"2023455057",10,28,16
"2024356495",10,28,16
"2024350046",6,28,16
"2024356832",3,28,16
"2024354328",6,28,16
"2024356777",38,28,16
"2024362383",3,28,16
"2024363607",6,28,16
"2024351816",25,28,16
"2023478582",3,28,16
"2024353160",3,28,16
"2024363317",6,28,16
"2023460994",9,28,16
"2024364828",31,28,16
"2024365150",6,28,16
"2024362179",19,28,16
"2024358232",7,28,16
"2024351380",10,28,16
"2023478809",12,28,16
"2024366534",3,28,16
"2024363253",39,28,16
"2024366479",6,28,16
"2024372542",9,28,16
"2023459034",9,28,16
"2024366631",21,28,16
"2024364713",22,28,16
"2024361892",28,28,16
"2023478185",21,28,16
"2023475690",7,28,16
"2024356256",7,28,16
"2024350879",19,28,16
"2023475418",3,28,16
"2024354299",10,28,16
"2023460407",3,28,16
"2024359106",40,28,16
"2023455041",19,28,16
"2024358840",17,28,16
"2023460542",18,28,16
"2023477064",12,28,16
"2024359426",31,28,16
"2024358403",23,28,16
"2024353090",29,28,16
"2024351458",17,28,16
"2023476324",3,28,16
"2024354317",4,28,16
"2024350980",6,28,16
"2024361624",16,28,16
"2023459165",3,28,16
"2024359474",15,28,16
"2023477099",24,28,16
"2024351986",6,28,16
"2024362388",3,28,16
"2023470113",27,28,16
"2023475964",17,28,16
"2024366757",9,28,16
"2024366743",3,28,16
"2023478787",20,28,16
"2024350578",7,28,16
"2024350901",23,28,16
"2024353391",7,28,16
"2024363818",11,28,16
"2024352874",29,28,16
"2023455684",18,28,16
"2024352959",3,28,16
"2024363898",24,28,16
"2024360689",3,28,16
"2023470500",22,28,16
"2024359209",3,28,16
"2024350141",11,28,16
