"folio_recepcion","estado_final_lm","fecha_recepcion","fecha_publicacion"
"2024207768",3,2024-05-10 08:04:00.000,2024-05-13 21:28:34.506
"2024207770",3,2024-05-10 08:04:00.000,2024-05-13 21:28:44.823
"2024227818",6,2024-05-24 09:07:00.000,2024-05-28 17:27:03.396
"2024207812",3,2024-05-10 08:04:00.000,2024-05-13 21:29:00.863
"2024484183",6,2024-05-07 09:11:00.000,2024-05-08 19:18:29.101
"2024487103",6,2024-05-02 00:01:00.000,2024-05-03 14:17:03.891
"2024483066",4,2024-05-06 08:14:00.000,2024-05-08 20:16:17.784
"2024487944",3,2024-05-03 14:35:00.000,2024-05-09 15:21:24.551
"2024225590",3,2024-05-23 06:01:00.000,2024-05-29 22:22:46.521
"2024212738",6,2024-05-23 00:01:00.000,2024-05-24 16:19:27.411
"2024211764",3,2024-05-15 16:25:00.000,2024-05-23 18:33:05.920
"2024488076",3,2024-05-03 14:56:00.000,2024-05-09 15:22:35.911
"2024200711",3,2024-05-16 18:32:00.000,2024-05-23 19:18:10.177
"2024487530",3,2024-05-03 14:56:00.000,2024-05-09 15:17:58.200
"2024490792",6,2024-05-06 00:01:00.000,2024-05-09 17:23:42.780
"2024488393",3,2024-05-03 15:04:00.000,2024-05-09 15:24:44.784
"2024224208",3,2024-05-17 08:46:00.000,2024-05-22 23:26:21.325
"2024210444",6,2024-05-13 00:01:00.000,2024-05-14 14:18:34.539
"2024212312",6,2024-05-23 00:01:00.000,2024-05-28 18:20:24.412
"2024201785",6,2024-05-16 00:01:00.000,2024-05-17 22:17:22.239
"2024488632",6,2024-05-03 00:01:00.000,2024-05-06 13:17:11.054
"2024210627",3,2024-05-13 09:31:00.000,2024-05-14 21:28:50.551
"2024227325",6,2024-05-20 11:27:00.000,2024-05-27 19:29:27.662
"2024202902",6,2024-05-27 00:01:00.000,2024-05-28 13:18:17.453
"2024207999",6,2024-05-10 00:01:00.000,2024-05-16 02:16:22.957
"2024229039",6,2024-05-24 00:01:00.000,2024-05-27 15:18:35.621
"2024487163",6,2024-05-02 00:01:00.000,2024-05-03 15:15:52.393
"2024485408",3,2024-05-08 13:02:00.000,2024-05-14 20:20:03.817
"2024496143",3,2024-05-09 13:02:00.000,2024-05-14 20:23:21.230
"2024487401",3,2024-05-02 12:58:00.000,2024-05-07 19:20:31.261
"2024496685",6,2024-05-09 00:01:00.000,2024-05-10 15:19:11.526
"2024200769",3,2024-05-16 18:05:00.000,2024-05-24 04:17:32.471
"2024211351",3,2024-05-15 16:40:00.000,2024-05-23 18:30:39.551
"2024487873",3,2024-05-03 15:16:00.000,2024-05-09 15:21:03.590
"2024488091",3,2024-05-03 15:04:00.000,2024-05-09 15:22:54.448
"2024490128",3,2024-05-02 15:12:00.000,2024-05-09 15:28:33.992
